Vehicles,Collected Amount (pallets),Travel Distance (miles),Travel Time (hours),Fuel (gallons),MPG,CO2 Amount (lbs)
vehicle_1,550,255.86585132700003,6.862194445000001,39.303260277932566,6.510041393961914,869.2028054088602
vehicle_2,567,59.500809262000004,1.819861112,14.150784697343259,4.2047710098487325,312.9486376114579
vehicle_3,563,783.333339507,17.726361112,162.10299896850594,4.832318615272437,3584.954033640962
vehicle_4,431,176.079888659,4.881027777000001,28.31278058444543,6.219095582428784,626.14521388046
Overall Statistics,2111,1274.7798887549995,31.289444445999997,243.86982452822718,5.227296535030916,5393.2506905417395
