item,amount_lb_per_month,processing_cost_per_lb_without_overhead
crt_tv,1156594.0303115905,0.11484141821094891
crt_monitor,44249.36596199967,0.11806585962554837
lcd_tv,254425.40428800942,0.05765417425884639
lcd_monitor,63212.451375000004,0.07116934494631834
desktop,164686.4733180061,0.1262959083326214
laptop,19513.4183230001,0.42982412622993466
printer,192597.88518100887,0.06192285970420992
small_cee,136229.061875,0.1391288948669025
peripherals,135347.22922,0.1424289120486584
